V1	V2
3999.64	0.635083
4003.497	0.6352266
4007.354	0.6352024
4011.211	0.6350767
4015.068	0.6344765
4018.925	0.633445
4022.781	0.6319366
4026.638	0.6302453
4030.495	0.628347
4034.352	0.6259385
4038.209	0.6230376
4042.066	0.6200105
4045.923	0.6169266
4049.78	0.6137502
4053.637	0.6104106
4057.494	0.6069942
4061.351	0.6033532
4065.208	0.5995412
4069.065	0.5955939
4072.922	0.5916567
4076.779	0.5878406
4080.635	0.5838266
4084.492	0.5799106
4088.349	0.5760975
4092.206	0.5724925
4096.063	0.5688592
4099.92	0.5653542
4103.777	0.5617696
4107.634	0.5585476
4111.491	0.5553525
4115.348	0.5523883
4119.205	0.5494115
4123.062	0.5466483
4126.918	0.5438804
4130.775	0.5413936
4134.632	0.5389434
4138.489	0.5367283
4142.346	0.5347497
4146.203	0.5330703
4150.06	0.5313228
4153.917	0.5298893
4157.774	0.5285841
4161.631	0.5275859
4165.488	0.5267923
4169.345	0.5263156
4173.202	0.526063
4177.059	0.5259895
4180.916	0.5258557
4184.772	0.5258859
4188.629	0.5258593
4192.486	0.5259736
4196.343	0.52591
4200.2	0.5258549
4204.057	0.5258772
4207.914	0.5261965
4211.771	0.5263837
4215.628	0.5266145
4219.485	0.526712
4223.342	0.5269644
4227.199	0.5271205
4231.056	0.5273831
4234.913	0.5277429
4238.77	0.5282244
4242.626	0.5287271
4246.483	0.5295519
4250.34	0.5304583
4254.197	0.5311159
4258.054	0.5313287
4261.911	0.5314442
4265.768	0.5312458
4269.625	0.5310498
4273.482	0.5307376
4277.339	0.5304273
4281.196	0.5300471
4285.053	0.5296235
4288.91	0.5290564
4292.767	0.5285324
4296.624	0.5278291
4300.48	0.5272494
4304.337	0.5266156
4308.194	0.5260527
4312.051	0.5255176
4315.908	0.5254641
4319.765	0.5256122
4323.622	0.5254294
4327.479	0.5246798
4331.336	0.5237667
4335.193	0.5226327
4339.05	0.5215286
4342.907	0.520213
4346.764	0.5187938
4350.621	0.5173017
4354.478	0.5159669
4358.334	0.5147
4362.191	0.513869
4366.048	0.5134643
4369.905	0.5135459
4373.762	0.5135973
4377.619	0.5136898
4381.476	0.5136597
4385.333	0.5134634
4389.19	0.5130851
4393.047	0.5126334
4396.904	0.5119075
4400.761	0.5110195
4404.618	0.5097948
4408.475	0.5083945
4412.332	0.5066919
4416.188	0.5046983
4420.045	0.502207
4423.902	0.4994991
4427.759	0.4964301
4431.616	0.4931312
4435.473	0.4895285
4439.33	0.4857396
4443.187	0.4816468
4447.044	0.47763
4450.901	0.4736049
4454.758	0.4697055
4458.615	0.4659387
4462.472	0.4623513
4466.329	0.4589536
4470.186	0.4559663
4474.042	0.4532093
4477.899	0.4508193
4481.756	0.4487017
4485.613	0.4470748
4489.47	0.4456399
4493.327	0.4445872
4497.184	0.4437759
4501.041	0.4433798
4504.898	0.4431101
4508.755	0.4430139
4512.612	0.4430939
4516.469	0.4434097
4520.326	0.4437351
4524.183	0.4442099
4528.04	0.444698
4531.896	0.4452876
4535.753	0.4458944
4539.61	0.4466796
4543.467	0.4474137
4547.324	0.4482032
4551.181	0.4489936
4555.038	0.4499035
4558.895	0.4506686
4562.752	0.4515441
4566.609	0.4524708
4570.466	0.453484
4574.323	0.4543371
4578.18	0.4552537
4582.037	0.4561485
4585.894	0.4570314
4589.75	0.4579053
4593.607	0.4588772
4597.464	0.4597734
4601.321	0.4608529
4605.178	0.4618441
4609.035	0.4629912
4612.892	0.4640205
4616.749	0.4651102
4620.606	0.4661921
4624.463	0.4673307
4628.32	0.4684196
4632.177	0.4696105
4636.034	0.4706881
4639.891	0.4717073
4643.748	0.4725614
4647.604	0.4735041
4651.461	0.4743594
4655.318	0.4752847
4659.175	0.476195
4663.032	0.477173
4666.889	0.4779266
4670.746	0.4787171
4674.603	0.4792852
4678.46	0.4796866
4682.317	0.4799818
4686.174	0.4803027
4690.031	0.4805025
4693.888	0.4807326
4697.745	0.4808136
4701.602	0.4808957
4705.458	0.4809165
4709.315	0.4809428
4713.172	0.4808289
4717.029	0.4808076
4720.886	0.4807521
4724.743	0.4806754
4728.6	0.4805477
4732.457	0.4804827
4736.314	0.4803178
4740.171	0.4801499
4744.028	0.4797981
4747.885	0.4795209
4751.742	0.4791947
4755.599	0.478778
4759.456	0.4782134
4763.313	0.4777046
4767.169	0.4771029
4771.026	0.4765684
4774.883	0.4759065
4778.74	0.4752305
4782.597	0.474427
4786.454	0.4736958
4790.311	0.4729128
4794.168	0.472181
4798.025	0.4713656
4801.882	0.4705087
4805.739	0.469559
4809.596	0.468682
4813.453	0.4676712
4817.31	0.466679
4821.167	0.4655213
4825.023	0.4643487
4828.88	0.4630115
4832.737	0.4617308
4836.594	0.4603729
4840.451	0.459027
4844.308	0.4576519
4848.165	0.4563008
4852.022	0.4547568
4855.879	0.4532064
4859.736	0.4515602
4863.593	0.4499884
4867.45	0.4482664
4871.307	0.4464453
4875.164	0.4444838
4879.021	0.4426016
4882.877	0.4406775
4886.734	0.4387621
4890.591	0.436759
4894.448	0.4348412
4898.305	0.4329171
4902.162	0.4310227
4906.019	0.4290546
4909.876	0.4271967
4913.733	0.4252668
4917.59	0.4235694
4921.447	0.4218186
4925.304	0.4202326
4929.161	0.4185325
4933.018	0.4169923
4936.875	0.4155293
4940.731	0.4142192
4944.588	0.4128653
4948.445	0.4117375
4952.302	0.4107086
4956.159	0.4099784
4960.016	0.4091558
4963.873	0.408599
4967.73	0.4081694
4971.587	0.4078354
4975.444	0.4075208
4979.301	0.4075351
4983.158	0.4076315
4987.015	0.4078971
4990.872	0.4081278
4994.729	0.4085094
4998.585	0.4089915
5002.442	0.409692
5006.299	0.4103302
5010.156	0.4111514
5014.013	0.4118498
5017.87	0.4127528
5021.727	0.4136282
5025.584	0.4147614
5029.441	0.4158822
5033.298	0.41701
5037.155	0.4181258
5041.012	0.4194894
5044.869	0.4207295
5048.726	0.4220597
5052.583	0.4233924
5056.439	0.4248176
5060.296	0.4260241
5064.153	0.4275193
5068.01	0.4289244
5071.867	0.4304272
5075.724	0.4319959
5079.581	0.4336382
5083.438	0.4350113
5087.295	0.4367184
5091.152	0.4382214
5095.009	0.4398484
5098.866	0.4414184
5102.723	0.4430511
5106.58	0.4446754
5110.437	0.446499
5114.293	0.4482566
5118.15	0.4498945
5122.007	0.4514365
5125.864	0.453302
5129.721	0.4551246
5133.578	0.4569372
5137.435	0.4586109
5141.292	0.4603732
5145.149	0.4622025
5149.006	0.4637968
5152.863	0.4651031
5156.72	0.4665512
5160.577	0.4680096
5164.434	0.4693764
5168.291	0.4703907
5172.147	0.4712243
5176.004	0.4719643
5179.861	0.4724383
5183.718	0.4724279
5187.575	0.4723659
5191.432	0.4722862
5195.289	0.4715374
5199.146	0.4705486
5203.003	0.4690688
5206.86	0.4670314
5210.717	0.4656652
5214.574	0.4633791
5218.431	0.4604465
5222.288	0.4571401
5226.145	0.4533048
5230.001	0.4495021
5233.858	0.4454289
5237.715	0.44112
5241.572	0.4359561
5245.429	0.429949
5249.286	0.424395
5253.143	0.4189563
5257	0.4129514
5260.857	0.4069018
5264.714	0.4002179
5268.571	0.3946894
5272.428	0.3893186
5276.285	0.383997
5280.142	0.3784363
5283.999	0.3737591
5287.855	0.3692503
5291.712	0.3655478
5295.569	0.3621268
5299.426	0.359082
5303.283	0.3561142
5307.14	0.3537191
5310.997	0.3515672
5314.854	0.3496946
5318.711	0.3478242
5322.568	0.3463371
5326.425	0.3445465
5330.282	0.3435317
5334.139	0.3422102
5337.996	0.3411924
5341.853	0.3402801
5345.709	0.3396983
5349.566	0.3390533
5353.423	0.3386609
5357.28	0.3387986
5361.137	0.3384117
5364.994	0.337958
5368.851	0.3378787
5372.708	0.3370817
5376.565	0.3368553
5380.422	0.3369628
5384.279	0.3366727
5388.136	0.3366853
5391.993	0.3363594
5395.85	0.336264
5399.707	0.3366108
5403.563	0.3364274
5407.42	0.3359884
5411.277	0.3355479
5415.134	0.3365091
5418.991	0.3370022
5422.848	0.3368899
5426.705	0.3363606
5430.562	0.3365569
5434.419	0.3369524
5438.276	0.3371498
5442.133	0.3368911
5445.99	0.3372599
5449.847	0.3378179
5453.704	0.3382311
5457.561	0.3381285
5461.417	0.3383623
5465.274	0.3384678
5469.131	0.3387699
5472.988	0.3387793
5476.845	0.3391967
5480.702	0.3395816
5484.559	0.3394518
5488.416	0.3391106
5492.273	0.3392434
5496.13	0.3397225
5499.987	0.3400147
5503.844	0.3398344
5507.701	0.3398847
5511.558	0.3402155
5515.415	0.3402025
5519.271	0.3401864
5523.128	0.3403724
5526.985	0.3406482
5530.842	0.3407145
5534.699	0.3406733
5538.556	0.3408916
5542.413	0.3409672
5546.27	0.3409931
5550.127	0.3410929
5553.984	0.3413557
5557.841	0.3415821
5561.698	0.3416396
5565.555	0.3417829
5569.412	0.3420204
5573.269	0.3421224
5577.125	0.3422462
5580.982	0.3423936
5584.839	0.342556
5588.696	0.3426744
5592.553	0.3427872
5596.41	0.3427952
5600.267	0.3428541
5604.124	0.3429024
5607.981	0.3430449
5611.838	0.3430645
5615.695	0.3431812
5619.552	0.3432418
5623.409	0.3432335
5627.266	0.3432246
5631.123	0.3432707
5634.979	0.3432507
5638.836	0.3433319
5642.693	0.3434016
5646.55	0.3435129
5650.407	0.3434963
5654.264	0.3436793
5658.121	0.3437586
5661.978	0.3438197
5665.835	0.3439202
5669.692	0.3438678
5673.549	0.3437763
5677.406	0.3438783
5681.263	0.3437749
5685.12	0.3437684
5688.977	0.3437175
5692.833	0.3435856
5696.69	0.34354
5700.547	0.3434927
5704.404	0.3434283
5708.261	0.3432331
5712.118	0.3431827
5715.975	0.3432893
5719.832	0.3433374
5723.689	0.3431773
5727.546	0.3430434
5731.403	0.3430467
5735.26	0.3430138
5739.117	0.3429738
5742.974	0.3429627
5746.831	0.3430642
5750.688	0.3431895
5754.544	0.3432388
5758.401	0.3432744
5762.258	0.3434655
5766.115	0.343752
5769.972	0.3439575
5773.829	0.3441516
5777.686	0.3444625
5781.543	0.3444876
5785.4	0.3444601
5789.257	0.3444254
5793.114	0.3444387
5796.971	0.3443415
5800.828	0.3442487
5804.685	0.3439488
5808.542	0.3436361
5812.398	0.3433626
5816.255	0.3430697
5820.112	0.342673
5823.969	0.3422132
5827.826	0.3416886
5831.683	0.3412505
5835.54	0.3408202
5839.397	0.3404557
5843.254	0.3400993
5847.111	0.339748
5850.968	0.3394409
5854.825	0.3391532
5858.682	0.3388748
5862.539	0.3386632
5866.396	0.3384354
5870.252	0.3382074
5874.109	0.3379485
5877.966	0.3377053
5881.823	0.337511
5885.68	0.3373207
5889.537	0.3371065
5893.394	0.3368944
5897.251	0.3366989
5901.108	0.3364674
5904.965	0.3361838
5908.822	0.3358528
5912.679	0.335517
5916.536	0.3352219
5920.393	0.3349365
5924.25	0.3346347
5928.106	0.3343912
5931.963	0.334258
5935.82	0.3341067
5939.677	0.3339235
5943.534	0.3337335
5947.391	0.3335735
5951.248	0.333347
5955.105	0.3330606
5958.962	0.3327956
5962.819	0.3325556
5966.676	0.332301
5970.533	0.3320971
5974.39	0.3318509
5978.247	0.3316337
5982.104	0.3314242
5985.96	0.331206
5989.817	0.3309839
5993.674	0.3307161
5997.531	0.3303919
6001.388	0.3301295
6005.245	0.3299011
6009.102	0.3295457
6012.959	0.3291757
6016.816	0.3288959
6020.673	0.3286418
6024.53	0.328341
6028.387	0.3279548
6032.244	0.3276082
6036.101	0.3273626
6039.958	0.3271212
6043.814	0.3268046
6047.671	0.3265062
6051.528	0.3263443
6055.385	0.3261502
6059.242	0.3259516
6063.099	0.3257552
6066.956	0.3255928
6070.813	0.3255733
6074.67	0.3254838
6078.527	0.3253857
6082.384	0.325337
6086.241	0.3252563
6090.098	0.3251948
6093.955	0.3251673
6097.812	0.3251544
6101.668	0.3252503
6105.525	0.3252451
6109.382	0.3252414
6113.239	0.3252895
6117.096	0.3253979
6120.953	0.325506
6124.81	0.3256186
6128.667	0.3257211
6132.524	0.3257557
6136.381	0.3258655
6140.238	0.3260104
6144.095	0.3260947
6147.952	0.3262235
6151.809	0.3263265
6155.666	0.3264365
6159.522	0.3266626
6163.379	0.3268624
6167.236	0.3269925
6171.093	0.3271202
6174.95	0.3272946
6178.807	0.3274299
6182.664	0.3275941
6186.521	0.3278221
6190.378	0.3280129
6194.235	0.3282233
6198.092	0.3283715
6201.949	0.3285665
6205.806	0.3287988
6209.663	0.3290294
6213.52	0.3293083
6217.376	0.3295375
6221.233	0.3297369
6225.09	0.3299871
6228.947	0.3302397
6232.804	0.3304381
6236.661	0.3306713
6240.518	0.3309273
6244.375	0.3311693
6248.232	0.3313882
6252.089	0.3315898
6255.946	0.3318305
6259.803	0.3320406
6263.66	0.3322938
6267.517	0.3325187
6271.374	0.3326923
6275.23	0.3329042
6279.087	0.3331378
6282.944	0.3333427
6286.801	0.3335578
6290.658	0.333677
6294.515	0.333827
6298.372	0.3340294
6302.229	0.3341866
6306.086	0.3342624
6309.943	0.3343407
6313.8	0.3344675
6317.657	0.3345495
6321.514	0.3346488
6325.371	0.3347642
6329.228	0.3348185
6333.084	0.3349531
6336.941	0.3350413
6340.798	0.3351204
6344.655	0.3351825
6348.512	0.335287
6352.369	0.3353062
6356.226	0.335325
6360.083	0.3354297
6363.94	0.3355026
6367.797	0.3354827
6371.654	0.335508
6375.511	0.3355639
6379.368	0.335614
6383.225	0.3356726
6387.082	0.335672
6390.938	0.3357599
6394.795	0.3359082
6398.652	0.3359033
6402.509	0.3358335
6406.366	0.3358558
6410.223	0.3359328
6414.08	0.3359376
6417.937	0.3360606
6421.794	0.336182
6425.651	0.3362588
6429.508	0.336312
6433.365	0.3363849
6437.222	0.3363593
6441.079	0.3363366
6444.936	0.3364313
6448.792	0.336524
6452.649	0.336575
6456.506	0.3366232
6460.363	0.3366358
6464.22	0.3366377
6468.077	0.3366629
6471.934	0.3367424
6475.791	0.3368114
6479.648	0.3368726
6483.505	0.3369016
6487.362	0.3369706
6491.219	0.3370701
6495.076	0.3372066
6498.933	0.3372742
6502.79	0.3373173
6506.646	0.337307
6510.503	0.3373288
6514.36	0.3374299
6518.217	0.3375827
6522.074	0.3377537
6525.931	0.3377898
6529.788	0.3378225
6533.645	0.337919
6537.502	0.338019
6541.359	0.3381348
6545.216	0.3382554
6549.073	0.3384392
6552.93	0.3386065
6556.787	0.3387817
6560.644	0.338971
6564.5	0.3391793
6568.357	0.3393085
6572.214	0.3395186
6576.071	0.3396846
6579.928	0.3398889
6583.785	0.340081
6587.642	0.3403159
6591.499	0.3405612
6595.356	0.3407026
6599.213	0.3408799
6603.07	0.3411086
6606.927	0.3413887
6610.784	0.341607
6614.641	0.3418413
6618.498	0.3421118
6622.354	0.3422591
6626.211	0.3423895
6630.068	0.3426808
6633.925	0.3430311
6637.782	0.3432829
6641.639	0.3433604
6645.496	0.343589
6649.353	0.3438798
6653.21	0.3440442
6657.067	0.3442167
6660.924	0.3444266
6664.781	0.3446918
6668.638	0.3448915
6672.495	0.3450643
6676.352	0.3451836
6680.208	0.3454164
6684.065	0.3456354
6687.922	0.345835
6691.779	0.3460481
6695.636	0.346249
6699.493	0.3463965
6703.35	0.3465158
6707.207	0.3466126
6711.064	0.346813
6714.921	0.3470132
6718.778	0.3471735
6722.635	0.3473054
6726.492	0.347406
6730.349	0.3475917
6734.206	0.3477538
6738.063	0.3479655
6741.919	0.3481394
6745.776	0.3482131
6749.633	0.3482957
6753.49	0.348412
6757.347	0.3485714
6761.204	0.3486937
6765.061	0.3487743
6768.918	0.3488957
6772.775	0.3490324
6776.632	0.3490886
6780.489	0.3492847
6784.346	0.3494403
6788.203	0.3494696
6792.06	0.3494716
6795.917	0.3495633
6799.773	0.3495796
6803.63	0.3496821
6807.487	0.3498762
6811.344	0.349868
6815.201	0.3497261
6819.058	0.3497853
6822.915	0.3497676
6826.772	0.3497278
6830.629	0.3496498
6834.486	0.3496718
6838.343	0.3497901
6842.2	0.3497351
6846.057	0.3495913
6849.914	0.3494994
6853.771	0.3494122
6857.627	0.3492814
6861.484	0.3493223
6865.341	0.3493218
6869.198	0.3491458
6873.055	0.3490461
6876.912	0.3489114
6880.769	0.3487959
6884.626	0.3487089
6888.483	0.3484448
6892.34	0.3481726
6896.197	0.3481415
6900.054	0.348141
6903.911	0.3480381
6907.768	0.3478447
6911.625	0.3475028
6915.481	0.3471331
6919.338	0.3469619
6923.195	0.3468202
6927.052	0.3464946
6930.909	0.3461969
6934.766	0.3458945
6938.623	0.3454993
6942.48	0.3452182
6946.337	0.3447493
6950.194	0.3441031
6954.051	0.3435613
6957.908	0.3430722
6961.765	0.3426438
6965.622	0.3420267
6969.479	0.3413095
6973.335	0.3407269
6977.192	0.3400873
6981.049	0.3392361
6984.906	0.3385659
6988.763	0.3378394
6992.62	0.3369657
6996.477	0.3359771
